image;threads;seconds
4k.jpg;16;0.789138
4k.jpg;16;0.791671
4k.jpg;16;0.794962
4k.jpg;16;0.786759
4k.jpg;16;0.788635
4k.jpg;16;0.796169
4k.jpg;16;0.791080
4k.jpg;16;0.802942
4k.jpg;16;0.788872
4k.jpg;16;0.785159
4k.jpg;16;0.788457
4k.jpg;16;0.789885
4k.jpg;16;0.792606
4k.jpg;16;0.785694
4k.jpg;16;0.795732
4k.jpg;16;0.792711
4k.jpg;16;0.786239
720.jpg;1;0.071967
720.jpg;1;0.073939
720.jpg;1;0.076064
720.jpg;1;0.076057
720.jpg;1;0.074542
720.jpg;1;0.074900
720.jpg;1;0.074913
720.jpg;1;0.072030
720.jpg;1;0.077422
720.jpg;1;0.075705
720.jpg;1;0.072045
720.jpg;1;0.073050
720.jpg;1;0.073618
720.jpg;1;0.071292
720.jpg;1;0.077021
720.jpg;1;0.077170
720.jpg;1;0.076198
720.jpg;1;0.072982
720.jpg;1;0.076527
720.jpg;1;0.075470
720.jpg;1;0.077514
720.jpg;1;0.087889
720.jpg;1;0.076367
720.jpg;1;0.073382
720.jpg;1;0.075180
720.jpg;1;0.074255
720.jpg;1;0.074072
720.jpg;1;0.074319
720.jpg;1;0.076048
720.jpg;1;0.083010
720.jpg;1;0.075716
720.jpg;1;0.076102
720.jpg;1;0.074465
720.jpg;1;0.072104
720.jpg;1;0.071283
720.jpg;1;0.071226
720.jpg;1;0.089404
720.jpg;1;0.084207
720.jpg;1;0.076570
720.jpg;1;0.091266
720.jpg;2;0.083405
720.jpg;2;0.084001
720.jpg;2;0.084027
720.jpg;2;0.084378
720.jpg;2;0.084043
720.jpg;2;0.084327
720.jpg;2;0.084040
720.jpg;2;0.084318
720.jpg;2;0.074229
720.jpg;2;0.069474
720.jpg;2;0.084015
720.jpg;2;0.083456
720.jpg;2;0.083575
720.jpg;2;0.084347
720.jpg;2;0.084007
720.jpg;2;0.082122
720.jpg;2;0.083822
720.jpg;2;0.084003
720.jpg;2;0.082245
720.jpg;2;0.071272
720.jpg;2;0.083541
720.jpg;2;0.084347
720.jpg;2;0.083757
720.jpg;2;0.083564
720.jpg;2;0.084242
720.jpg;2;0.079269
720.jpg;2;0.070070
720.jpg;2;0.069582
720.jpg;2;0.069927
720.jpg;2;0.070153
720.jpg;2;0.069799
720.jpg;2;0.069305
720.jpg;2;0.088836
720.jpg;2;0.097977
720.jpg;2;0.070571
720.jpg;2;0.071041
720.jpg;2;0.070537
720.jpg;2;0.070695
720.jpg;2;0.070082
720.jpg;2;0.071207
720.jpg;4;0.068929
720.jpg;4;0.067587
